subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_3kADcz6ru8kn3rB,2,6,2,3,6,2,27,2,,4
R_29oacoJXHJR4hoR,2,7,1,2,6,2,46,2,,3
R_d07arjXyyXN78tz,2,1,4,1,1,2,32,1,,5
R_bQNNjYp20SReifT,2,5,5,4,1,1,35,1,,3
R_sAO2FRWB08pLxtv,2,6,1,4,4,2,,1,,3
R_x61x24GkalcZgGt,2,5,1,1,1,1,25,1,,3
R_pFp4ZfRMamoyrnj,2,5,2,2,6,2,38,2,,5
R_87mh4ZdPOArMvBv,2,7,1,1,1,1,33,1,,1
R_9X2Fn1KpzbY4BG1,2,6,1,2,4,2,41,1,,6
R_1pVHflGsWzi2W2P,2,2,5,2,1,1,30,1,,2
R_1HpnliApencSKlr,2,7,1,3,2,2,31,4,,4
R_2QT0vMvfPYvmz1T,2,6,2,4,6,2,25,5,Multiracial ,2
R_9Ss3gCivIvp3a8h,2,6,2,2,4,1,33,1,,2
R_1eElk0cu3NPZu18,2,7,1,2,1,1,32,2,,3
R_1j6xhWJpoXIXfa6,2,6,1,3,1,2,59,1,,1
R_ToWLJ27y0TC0r5v,2,6,1,1,1,2,25,1,,2
R_aYmgSqZvmS34uTD,2,6,6,3,1,1,26,1,,4
R_WwIZjpKt1uU6eYN,2,2,6,2,1,1,28,1,,2
R_0re8xAALn8MmTsx,2,2,2,2,1,1,29,1,,5
R_2VwiXCYciUDSACd,2,6,1,4,2,1,49,1,,2
R_1gcFGUfE9A32AEX,2,6,2,2,1,2,31,1,,4
R_1g5CGEVzB1fhynN,2,6,1,2,2,2,25,1,,2
R_2uprRLWwkWhvVlu,2,2,3,3,4,1,20,1,,1
R_2X1dN1gmIy9G5mB,2,5,2,1,1,1,27,2,,3
R_2qdxU8P4D9GQobS,2,1,1,2,1,1,22,1,,1
R_V2q2JYzjJTs5BG9,2,5,2,3,3,1,22,5,Pacific Islander,2
R_2YS1NE6aCVXyfce,2,6,2,2,1,2,33,1,,5
R_w622HtKK6dyqh3j,2,1,1,1,1,1,27,4,,3
R_uyyJc3GDcTbxEyt,2,2,3,2,4,1,38,1,,1
R_2xK4P808InqL1Kt,2,7,1,3,5,2,53,1,,3
R_2Bkt3oSG6ufbEtj,2,1,3,2,4,2,32,1,,1
R_25SETIyovqIhW5X,2,1,1,2,1,2,30,1,,1
R_1QGC6JtoOOHHAXj,2,5,4,5,4,1,24,1,,1
R_3E9DTzsbqrOGyZW,2,4,2,4,5,1,32,4,,5
R_ANwGestbqVveR8t,2,4,2,3,4,1,23,1,,3
R_305LNw1kBS7WurF,2,3,1,2,3,1,31,,,2
R_eLgydbjbU0YiARH,2,6,1,2,2,2,39,1,,5
R_9mDHpoIH5zLnFFn,2,6,2,3,4,2,28,4,,1
R_2uU7HF1OdSIjklZ,2,5,1,3,1,1,32,1,,4
R_1QgroxeaYSqrunE,2,5,2,5,6,1,22,1,,1
R_D7sK4EfWiZX9YVX,2,6,4,3,1,1,43,1,,5
R_3MAKAndDToB2kB9,2,5,4,4,2,2,41,1,,5
R_6nyICdUWoh5cedD,2,2,1,1,1,1,25,3,,1
R_1CkIPxA3T3Z8Jk5,2,3,2,4,2,1,29,1,,4
R_Ycu5zaq6VJP8Mkp,2,7,1,4,6,2,22,1,,1
R_0B5vLf9cLrIfKRb,2,7,1,4,1,2,24,1,,2
R_d4fTLyYpe3Db4PP,2,6,2,5,6,1,35,1,,3
R_3qOudwCfqlCv1zK,2,6,1,3,1,1,28,3,,3
R_1msfnCmiQ6GHehz,2,6,2,5,1,2,21,1,,4
R_10uyzrbuDVJgXKh,2,1,1,2,1,1,22,1,,2
R_1rPLlqOmCd9gcNb,2,4,2,4,2,2,28,1,,3
R_3JfLFzebBhjmtjj,2,3,2,2,1,1,39,1,,1
R_31zvO5qhveIrBNm,2,6,2,3,1,1,26,5,Mixed,1
R_1FfZbTBzoU5IyIT,2,5,4,5,4,1,22,1,,1
R_cU6cKb6fijW1cbL,2,4,4,3,3,1,22,1,,1
R_eE9hyc5ToCmy3Wp,2,5,3,2,2,1,30,1,,4
R_VOUxpTNdag7AP8R,2,4,2,2,4,1,33,1,,2
R_beAXZqvQdaIRQXz,2,4,1,1,1,1,26,1,,1
R_2Y4f9Bq6Kq9keEy,2,4,2,3,6,2,29,4,,2
R_2uTBo0lVdUF0XRN,2,4,3,2,1,2,31,1,,2
R_1EiKU4CV9MEvBZ4,2,6,1,2,1,2,23,1,,2
R_1LtHbXFYqhXB5CY,2,3,3,1,4,1,30,4,,4
R_2UgrSoIrpzjI1nh,2,6,1,2,1,2,40,4,,2
R_2dF7vhpvfW3kKgr,2,2,1,1,4,2,24,1,,2
R_1LnucmxvCwp1ohb,2,3,5,3,1,1,21,1,,1
R_7VPToFd0xeNKrw9,2,7,1,6,4,1,22,1,,3
R_2XgPzG6H10qAIjs,2,2,3,4,4,2,33,,,4
R_2XomHPlWfXP4vZK,2,5,5,4,6,1,27,4,,1
R_2908lrRAHX6JYIO,2,5,6,5,5,2,52,1,,3
R_3GdYNDy3qRcmss6,2,5,5,1,1,1,25,1,,2
R_2fxhvBCFwlOf3iO,2,6,3,2,5,2,47,1,,4
R_3g7PE8zbJU7ZA33,2,4,6,4,5,2,25,1,,3
R_1lAZgHqs9pGRSkM,2,7,1,3,5,1,29,2,,4
R_3n7QAjfgFiSzFNC,2,3,5,1,1,2,24,1,,2
R_2qvN3Z9yIgdCxcu,2,7,1,2,2,1,30,2,,3
R_1obDJpJmMv2VQOx,2,6,2,2,1,2,27,4,,5
R_2CD1mkQQ9MIhCOn,2,2,4,4,3,1,20,4,,1
R_2txs2bSYRa11KTE,2,7,1,2,1,1,33,1,,2
R_2YDOQ23dUGWtuob,2,6,2,5,1,1,36,4,,5
R_2QKjRV4nNxSuTWh,2,5,3,5,2,1,29,1,,4
R_1JRUhS7mDCKPYmh,2,6,2,1,1,2,35,1,,4
R_AM1s9nv2ZcVhZzb,2,1,5,4,1,1,31,1,,2
R_1LLi7vja0vJJHPo,2,4,3,4,1,2,32,1,,3
R_0cWv20fRILJYqdz,2,2,2,3,4,2,34,1,,2
R_rkAJpXN06oglPDH,2,7,1,3,1,2,21,1,,4
R_1OwOYLwWCOG0G7h,2,4,1,2,1,2,28,3,,5
R_W38zEFAM0bihEe5,2,5,3,4,1,1,35,4,,6
R_2xD9qsRcPudlgXK,2,6,1,3,2,1,20,1,,2
R_2ZWS8D0erQgjpJU,2,7,2,2,2,1,24,1,,1
R_RIxEaR7wT6TLS1P,2,5,3,3,5,2,26,1,,3
R_ApJ9bZPQWBoFy6J,2,7,1,3,1,1,30,3,,4
R_2bOYQtfL5fkrUp4,2,3,3,2,5,1,22,1,,3
R_25LNxJ8QhueoISx,2,2,2,3,1,1,24,1,,1
R_12lmzSa3vIFhoOf,2,2,3,2,2,2,24,1,,2
R_1JY48aGFVOE5R36,2,6,1,3,5,1,18,4,,2
R_24pZ0ocfWMyMbj6,2,7,1,2,1,2,26,3,,1
R_2U3jtbehYLKl6p3,2,5,1,3,1,1,49,1,,3
R_dbPdsi47Vi7P9QJ,2,2,2,5,2,2,55,1,,2
R_2AF2oxuI61BBZfJ,2,3,7,2,2,1,23,3,,2
R_1OiRUxLujLGZ3P3,2,7,1,3,1,1,22,1,,1
R_3G3ZiBHYJOc0b58,2,3,1,,1,2,27,1,,3
R_2D22JSPRtz3bAqT,2,3,2,4,3,1,27,1,,2
R_2ON07k7NPzK2AAx,2,5,1,4,3,2,34,1,,5
R_3qjJeFyfmxhqBBc,2,6,2,1,1,1,23,1,,1
R_bCqlqUaXL33kUNj,2,4,4,2,1,1,24,3,,4
R_21tSiFC8Hcciazg,2,2,1,2,3,1,21,1,,1
R_1nZJEapCc0kaomq,2,7,1,4,4,1,24,1,,1
R_un4aoskWlzkayc1,2,2,1,1,2,1,29,3,,4
R_2zeIyq3DmZFW0hS,2,6,2,5,4,1,51,1,,6
R_eyqVMEABgmao2eR,2,3,1,5,5,2,26,1,,4
R_1i8JQngxcWsqsFV,2,5,,3,2,2,24,1,,3
R_1FDXpzhzG9t9jUh,2,1,3,2,1,1,31,1,,2
R_22yam1ss13zlUoi,2,6,1,4,5,2,77,1,,1
R_2ydZbydCtpvtC4E,2,1,4,5,5,1,28,2,,3
R_2TXW2OTinXYiKzS,2,7,1,3,4,2,35,1,,1
R_1qg2HPIFIGJLct9,2,6,1,3,1,2,,1,,2
R_3nw8GQ91lWN0B8m,2,7,1,4,2,1,24,1,,1
R_1hXAZaqrMM1iQtX,2,4,3,5,5,2,23,1,,3
R_8w50sQYlbFsWE2F,2,5,1,3,1,1,25,1,,1
R_doswT5vmQZscyB3,2,1,2,1,1,2,34,5,mixed race,2
R_2WBhr6HySdIVlTE,2,6,1,3,1,2,26,2,,2
R_2thViGGbQI0Yb0w,2,4,4,2,1,1,24,1,,1
R_yPDsnTu4IxrENtD,2,2,4,3,1,1,28,1,,2
R_2P1CckcSf25nSMu,2,4,3,4,1,1,43,1,,2
R_1kYqTXqhhbnSfW4,2,4,4,4,5,1,22,1,,1
R_3M0brOOJWKZQvbg,2,6,2,4,3,2,24,1,,2
R_25zT95WWYNjDPPb,2,6,1,5,2,1,25,1,,2
R_cuo7BWEBomcwOkx,2,2,5,3,1,1,29,1,,5
R_24BoPPerneEeIBb,2,2,4,2,2,1,27,4,,5
R_2YWWa0SoG2IY6Qw,2,2,3,1,1,1,29,1,,1
R_1hA6LUruNotVSJZ,2,3,4,3,1,2,23,4,,3
R_12RAi3G1dYMoyT1,2,6,2,3,1,1,36,1,,3
