subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_2tDXnmNOoPjJk9i,2,5,7,1,3,2,26,2,,2
R_3fCrQghXJLDTMk2,2,5,7,2,3,2,34,1,,4
R_30qRVIUaTgNwoWf,2,6,5,3,1,1,60,1,,1
R_3jZ0Ec5p0O5igxS,2,7,7,1,1,1,32,1,,2
R_2CO4d13UxLfR3gi,2,1,1,4,1,1,38,1,,1
R_6zgJBFcsOGjAwqV,2,2,5,2,2,1,28,1,,2
R_UAAWhZwe3qV2w7f,2,5,7,2,4,2,32,4,,1
R_29taM0OBgXpdkuR,2,1,7,3,,1,26,1,,3
R_1jCHppT1hZjgZa2,2,6,6,3,1,2,56,1,,1
R_3MGuz6Te53ImYGC,2,2,6,5,1,1,32,1,,5
R_3EKoi6aD1HagN5b,2,7,7,2,5,1,55,1,,3
R_1CqJGIDt3YWlHkE,2,3,7,2,3,2,31,3,,2
R_2SieRn4HDe1h816,2,2,4,4,1,1,29,1,,2
R_2VkDN13g4pWkW3r,2,6,7,4,3,1,22,1,,1
R_1K6F6OgNDQqa7rG,2,7,7,1,2,1,32,1,,4
R_294lohhGGfuvVhI,2,3,1,2,1,2,33,,,2
R_26hXhkTCYPuMPUo,2,3,6,4,2,1,37,1,,4
R_3hAcv4gCNrA6ZsH,2,1,3,5,6,1,54,1,,2
R_2Rah8dKXSyiLVlq,2,6,6,2,2,1,21,1,,1
R_1pohIDepoDrJech,2,3,5,1,1,2,26,3,,1
R_a8DfFyrBzN44CXv,2,2,6,1,1,1,36,1,,3
R_31BHzTEuIdgXxpF,2,6,7,5,5,1,20,1,,1
