subj,condition,mediator,dv,moraljudg,politics,religion,gender,age,race,race_TEXT,income
R_pn2sio8fGmgl6HD,1,1,5,4,1,1,2,27,1,,1
R_1QchmQoP69k4beC,1,1,7,7,5,4,1,55,1,,2
R_2QJTu9GsbLE71il,1,2,2,3,3,3,2,32,2,,3
R_yxzwDWz1liyfsf7,1,1,7,7,1,1,2,25,1,,2
R_RQycoTCHwk6lr0t,1,6,2,2,5,5,1,22,4,,3
R_6XUSVPYHgP3cW21,1,5,2,2,2,1,1,30,,,6
R_2E0O9IAqrjZeeaV,1,3,2,4,3,1,1,,4,,5
R_2at1FrO5f62v4qC,1,1,2,7,5,1,2,29,2,,4
R_1jGHBx3tRZb5N7s,1,1,7,7,2,1,2,24,1,,1
R_1ewVLgxBTkagkc1,1,3,1,3,2,3,2,27,1,,2
R_2OGwIpkGJH4zWNP,1,5,3,4,2,1,1,61,1,,2
R_2S1TT9BW4MIf7Di,1,5,7,4,5,4,1,26,3,,1
R_1GIWpejA2mtxlln,1,2,4,6,1,1,2,27,1,,5
R_1gSAsreQPgbwZEe,1,2,3,4,4,4,2,31,1,,1
R_3mf2Vv8TH3DpwPz,1,1,6,7,3,1,1,46,1,,2
R_21EZ6WfNB52jYnp,1,2,2,2,1,1,1,25,1,,3
R_3mxtB2Pgh477RPr,1,1,7,3,3,4,2,28,1,,2
R_25KNzBKE8XFlaBx,1,2,1,1,2,1,1,26,4,,2
R_87JAPhHOUGYePD7,1,1,2,3,4,4,2,36,1,,2
R_25sEeWEwdicih6F,1,6,1,3,4,4,2,32,1,,2
R_1P03q4mKaKRSfoW,1,4,7,7,2,1,1,35,1,,1
R_qydxMvh8kWmLqOl,1,4,7,5,2,2,2,23,1,,4
R_3hoHMoIsH4PRmHj,1,2,5,6,3,1,1,35,1,,1
R_3HZXLUteEeAnxSZ,1,1,7,7,5,6,2,26,1,,2
R_vlck09gS31RNenf,1,1,7,7,1,1,2,35,1,,1
R_3KJDD9gsEv5lhPe,1,1,7,7,1,1,2,26,1,,1
R_eD45cofrToO0xH7,1,5,7,7,3,2,1,21,4,,3
R_3OV9PNd6sTCtxO9,1,1,5,6,2,1,2,22,1,,2
R_1C2DvjGieywCrFa,1,1,3,1,4,1,1,22,1,,1
R_9z9gwsWSejZM7jr,1,5,7,7,4,2,1,28,4,,2
R_1DvwW5p8b1dclQC,1,4,1,1,3,,2,39,1,,1
R_3QLu5bE6RBnqjO6,1,3,7,5,3,1,2,22,1,,1
R_2CjlMj1hXmbk2dh,1,5,1,4,4,4,1,19,2,,1
R_2Xj4noDuH7NjZIt,1,1,7,7,1,1,1,29,3,,2
R_3HNzBQUUqcJloxw,1,2,7,7,5,2,2,48,1,,1
R_2ZWh1ex5YIfyAkA,2,2,2,5,3,4,1,43,1,,3
R_3Q0pebuMctI61Gq,2,2,3,5,3,1,1,28,1,,1
R_231U6EiBsLpJegx,2,2,1,4,1,1,1,35,1,,6
R_3LjN2sovTr5sBSh,2,2,6,5,3,6,1,19,1,,1
R_2ffUs2rp68MGMAH,2,1,7,7,6,4,1,37,1,,1
R_1C8zcSXdXbsgde6,2,1,7,7,4,6,2,52,2,,4
R_cXQRp7Qg7w8Vcrf,2,1,5,5,3,1,2,23,3,,2
R_2ZKV4kcVM8IfQ1i,2,4,1,1,2,2,1,26,1,,2
R_3PnVg4kZEr308jf,2,1,6,5,4,5,1,26,1,,3
R_3KvAXndwvL7OAF3,2,4,4,4,3,1,1,29,1,,2
R_2EzYRitJ2lQQwXd,2,7,1,1,3,1,1,23,4,,4
R_1DXYnXPSwuL7kyy,2,2,3,5,4,2,1,18,1,,3
R_1hYk4caIJTmnhan,2,1,3,5,2,1,1,25,1,,2
R_1QLQQBNpbaGdVi4,2,1,6,7,5,5,1,34,1,,6
R_OPSLGb8OW4I7bzj,2,2,6,4,3,2,1,34,1,,2
R_31LPZRawfypodkV,2,4,1,1,1,1,2,32,1,,2
R_3h3Xl3WonMdHjps,2,5,2,2,3,6,2,33,1,,1
R_sR3DEuzHkd5wDHb,2,1,6,7,3,1,1,32,1,,2
R_3ferzzd9IbvnQ3e,2,1,1,1,2,1,2,25,1,,2
R_1N4c07GmJvu2QvQ,2,4,2,3,2,2,2,51,1,,3
R_2QnrFRQ91SZ1PVX,2,3,3,2,1,1,1,32,1,,1
R_1Ib174lyqWTEKVb,2,3,1,4,2,3,2,26,2,,1
R_3nUUhO6ldeH9JrN,2,2,7,7,5,5,2,44,1,,2
R_9uG7a89onKWLHa1,2,1,5,5,2,1,1,28,2,,5
R_cUXT3QIDTosAjxH,2,1,6,6,5,6,2,28,1,,1
R_3Rg34LJ9gxuO6q5,2,5,2,3,2,1,2,27,1,,4
R_3KBeVzhTcqgQNvY,2,2,1,2,3,2,1,46,1,,3
R_3g4JOgifENdoFvE,2,5,2,1,2,1,2,30,1,,1
R_2YQjpU3MKWAFCm6,2,3,1,2,4,5,1,37,1,,1
R_2SjMp3TRV4zHgE9,2,4,2,4,3,1,1,25,4,,2
R_1QyMowVW5WyiCL3,2,3,4,2,2,4,1,40,2,,4
R_2ToUWDrB5YtMCKV,2,7,1,1,2,1,2,22,1,,2
R_TixYrDLbw4gJEVX,2,7,1,1,3,2,1,24,4,,2
R_8p4IS753hQmg9W5,2,1,6,4,3,4,2,28,1,,2
R_cROiU4m8qHTWMQF,2,3,6,4,3,1,1,39,1,,2
R_sgLwqMLZNWPOa41,2,2,2,4,3,2,2,37,1,,2
R_2SoHeC8rJGL2XRg,2,7,1,7,2,1,1,31,4,,3
R_1IFqirxxRnHIEkD,2,5,1,1,5,5,2,45,1,,3
R_1jVR7nI07Y5ZybL,2,6,3,4,1,1,2,29,1,,1
R_2fka100J0wPMOzj,2,3,2,2,1,3,2,34,4,,2
R_2OIutWNyDVvHu8T,2,5,1,1,2,1,1,22,1,,1
R_3lYTPxnNzTZJDVW,2,1,2,2,4,4,2,36,5,"Asian, White",1
R_3fJitFrZBkuGsNR,2,6,6,6,3,2,1,43,1,,2
R_1Kqbfw1cRPlQbQo,2,1,6,4,5,1,2,25,1,,3
R_1kRoHLWj7qQCFnu,2,4,3,4,4,1,2,25,1,,1
R_yPB4vNj6jXJ2bcd,2,1,2,3,3,2,1,27,1,,2
R_BJtP01KdIqLvwv7,2,1,4,4,3,1,1,31,1,,1
R_1mvZHs3WRzkm94O,2,2,7,6,2,1,2,30,1,,3
R_23TqtdBTE70D7a0,2,3,1,3,3,1,2,39,1,,3
R_24f7SnoAkO2bhca,2,1,7,6,1,1,1,34,1,,1
R_1QFshu85bqeyOIj,2,2,1,2,3,1,2,34,1,,3
R_1nPeNjkQDu6zqhG,2,5,5,4,5,4,2,26,3,,2
R_3JHRIi4FG0vMT4h,2,5,1,1,1,1,2,25,4,,1
R_ysRjool5kDCVMCl,2,7,1,1,3,2,1,38,1,,2
R_2dRUOGNThk5dQvI,2,7,1,1,1,1,1,19,1,,4
R_2e2zDiYX4EbECik,2,6,2,4,3,1,2,33,1,,1
R_3PNbRut5eQSFl5P,2,6,2,2,4,4,1,32,1,,1
R_6lBrbiVWs5oz69P,2,3,4,4,1,1,2,32,1,,2
R_XNHgo4ddwdaewzT,2,5,1,1,1,1,1,26,4,,2
R_3qP9sws3wBeGuwm,2,2,6,4,6,3,1,29,1,,3
R_3irihu2DiNtaExY,2,3,1,2,4,5,1,0.27,2,,2
R_1rxKGLpxIrm50ZZ,2,6,1,1,5,1,2,61,1,,1
R_2rSMPtZp2qh06Yc,2,4,3,4,4,3,1,25,4,,1
R_2fDQN0H1f33mfmO,2,5,3,4,3,1,2,46,2,,3
R_0PTnsjycBpZ4XqV,2,1,1,3,2,4,2,26,1,,1
R_31bF01m2r4UvghR,2,2,2,1,5,1,2,41,1,,2
R_3Ic2ZGAnktrpuXZ,2,1,1,1,2,1,1,59,1,,1
R_272vEcjmdHLXxEL,2,2,1,1,4,2,1,42,1,,1
R_zTigKZN0TD07PnX,2,5,3,2,2,1,1,25,1,,3
R_6yBUOVjW0h81Rhb,2,1,1,4,6,2,1,21,1,,3
R_1iffGbWAgmCe30n,2,1,7,7,4,5,2,28,1,,1
R_2awtnbmraNDGF36,2,5,2,4,3,4,2,29,1,,2
R_1N3vbIDGr2XZpJs,2,5,5,4,2,2,2,49,1,,3
R_2dRXWoMiWcp87sD,2,1,7,7,4,4,2,22,2,,2
R_8eLJJNwDPY68ftv,2,7,7,3,2,1,1,24,1,,1
R_3EMZRG3xQhxIbYZ,2,2,2,3,3,6,1,26,4,,2
R_3nDIIwNezPymlkl,2,2,5,1,3,2,1,30,1,,1
R_1mIaS7ODN2HTDsJ,2,3,1,1,1,1,2,28,1,,1
R_DuV0jwpK9CUcGJj,2,6,1,2,2,1,2,26,3,,1
R_41nyr0TYZSuTGJb,2,4,6,4,4,4,1,27,3,,3
R_1HdcWSxl6bBYDqh,2,4,2,2,4,1,1,28,1,,2
R_3LdtZUwGddu4Cp3,2,3,6,4,4,3,1,22,1,,2
R_3k82TslNul2dg3E,2,5,2,2,2,4,2,36,1,,4
R_2ahmSvaC1M0vwwC,2,7,1,1,2,1,2,36,1,,3
R_2xPnODMPWOSdXoO,2,1,1,4,4,1,2,55,1,,2
R_DCXpk5WZmCmdcVb,2,5,2,6,3,1,1,45,1,,3
R_2SwwDXsZVVrVVfb,2,4,4,4,5,2,1,20,1,,2
R_1Lte6EkV3ZzlrtA,2,1,2,2,2,1,1,45,1,,4
R_1j7KoQNfj77mwOQ,2,4,7,4,3,5,2,40,1,,3
R_2A1lKb1PzVsPsq5,2,1,7,6,1,4,2,31,5,I don't believe in Race.,1
R_1JON64GdCVsVtpa,2,1,1,1,4,6,1,44,1,,5
R_CfX6HzNI49FHl7z,2,5,6,6,5,2,2,49,1,,2
R_11dnRo4ViBoS0v4,2,3,4,7,4,1,1,30,4,,2
R_RUIc3IsFNOPWHnz,2,1,2,2,1,1,1,28,4,,5
R_wXZVDyeav1yZ7u9,2,3,2,3,2,1,1,27,2,,1
R_1HqPtI4lsNTBP4p,2,5,2,2,4,6,1,26,1,,4
R_1LOvkqrOjXJAj3R,2,2,5,4,3,2,2,21,1,,1
R_1o0VDiMuPXxatZX,2,5,1,2,3,1,1,20,4,,2
R_2xLyW65qRIgpFnB,2,2,2,4,3,1,1,26,1,,1
R_6WgvfhRA4LBUh1f,2,5,2,2,2,1,1,25,1,,2
R_3spjR12NYJwKJEA,2,7,7,4,1,3,1,30,2,,2
R_3nA7BKYyPuwVn95,2,5,2,5,3,5,1,23,1,,2
R_1n3LmPrPJVOpOn9,2,5,2,3,6,2,1,27,3,,3
R_2SAL0GF5HXSnu1l,2,5,2,4,4,1,1,24,1,,2
R_qyEaqF7VofpInp7,2,1,4,4,4,2,1,48,1,,1
R_2YaWRhKgAj6kPut,2,3,5,4,2,2,1,46,1,,1
